video_id,segment_id,start,end,n_viewers_reached,completion_rate,dropoff_rate,n_pauses,n_replays,n_seeks,avg_pause_rate,avg_replay_rate,retention_next,dropoff_velocity,completion_acceleration,dropoff_trend_3seg,dropoff_relative_score,is_relative_outlier
v1,0,0,15,373,1.0,0.0751,158,49,185,0.4236,0.1314,0.9249,0.0,0.0,0.0751,-0.48324116984794807,False
v1,1,15,30,345,0.9249,0.0841,87,28,121,0.2522,0.0812,0.8472,0.008999999999999994,0.0,0.0796,-0.4525381679017099,False
v1,2,30,45,316,0.8472,0.0538,65,21,66,0.2057,0.0665,0.8016,-0.030299999999999994,-0.0026000000000001577,0.071,-0.5559049411207116,False
v1,3,45,60,299,0.8016,0.0167,50,18,78,0.1672,0.0602,0.7882,-0.0371,0.03210000000000013,0.05153333333333333,-0.6824695380324266,False
v1,4,60,75,294,0.7882,0.0102,40,15,69,0.1361,0.051,0.7802,-0.006499999999999999,0.032200000000000006,0.026899999999999997,-0.704643928326932,False
v1,5,75,90,291,0.7802,0.0103,52,16,61,0.1787,0.055,0.7721,9.99999999999994e-05,0.00539999999999996,0.0124,-0.7043027838608626,False
v1,6,90,105,288,0.7721,0.0625,107,12,63,0.3715,0.0417,0.7239,0.052199999999999996,-9.999999999998899e-05,0.027666666666666662,-0.5262253725726814,False
v1,7,105,120,270,0.7239,0.1667,253,16,55,0.937,0.0593,0.6032,0.10419999999999999,-0.040100000000000025,0.07983333333333333,-0.17075283892845777,False
v1,8,120,135,225,0.6032,0.2711,216,13,26,0.96,0.0578,0.4397,0.10440000000000002,-0.07250000000000001,0.16676666666666665,0.18540198364790467,False
v1,9,135,150,164,0.4397,0.0915,45,6,19,0.2744,0.0366,0.3995,-0.1796,-0.04279999999999995,0.17643333333333333,-0.4272934774125808,False
v1,10,150,165,149,0.3995,0.0537,13,6,25,0.0872,0.0403,0.378,-0.0378,0.12330000000000002,0.13876666666666668,-0.556246085586781,False
v1,11,165,180,141,0.378,0.0638,11,6,23,0.078,0.0426,0.3539,0.010099999999999998,0.01869999999999994,0.06966666666666667,-0.5217904945137805,False
v1,12,180,195,132,0.3539,0.0758,11,2,26,0.0833,0.0152,0.3271,0.01200000000000001,-0.002599999999999991,0.06443333333333333,-0.48085315858546285,False
v1,13,195,210,122,0.3271,0.3934,7,5,19,0.0574,0.041,0.1984,0.3176,-0.00269999999999998,0.17766666666666667,0.6026216656506741,False
v1,14,210,225,74,0.1984,0.4189,6,1,9,0.0811,0.0135,0.1153,0.025499999999999967,-0.10190000000000002,0.29603333333333337,0.6896135044983487,False
v1,15,225,240,43,0.1153,0.8372,0,1,7,0.0,0.0233,0.0188,0.41830000000000006,0.045600000000000016,0.5498333333333333,2.1166208060662837,True
v1,16,240,244,7,0.0188,1.0,0,0,0,0.0,0.0,0.0188,0.16279999999999994,-0.013400000000000009,0.7520333333333333,2.672003996827124,True
v2,0,0,15,364,1.0,0.011,43,24,72,0.1181,0.0659,0.989,0.0,0.0,0.011,-0.46246771684455606,False
v2,1,15,30,360,0.989,0.0306,59,19,68,0.1639,0.0528,0.9588,0.0196,0.0,0.0208,-0.34170609613907643,False
v2,2,30,45,349,0.9588,0.063,48,8,35,0.1375,0.0229,0.8984,0.0324,-0.019199999999999995,0.034866666666666664,-0.14207974354430405,False
v2,3,45,60,327,0.8984,0.0306,30,7,33,0.0917,0.0214,0.8709,-0.0324,-0.030200000000000005,0.0414,-0.34170609613907643,False
v2,4,60,75,317,0.8709,0.0379,17,13,26,0.0536,0.041,0.8379,0.007300000000000004,0.03290000000000004,0.043833333333333335,-0.29672855373346413,False
v2,5,75,90,305,0.8379,0.0426,31,10,23,0.1016,0.0328,0.8022,0.004699999999999996,-0.00550000000000006,0.037033333333333335,-0.26777040999286444,False
v2,6,90,105,292,0.8022,0.0445,16,7,19,0.0548,0.024,0.7665,0.001899999999999999,-0.0026999999999999247,0.041666666666666664,-0.25606392635304753,False
v2,7,105,120,279,0.7665,0.0215,10,7,21,0.0358,0.0251,0.75,-0.023,-1.1102230246251565e-16,0.0362,-0.3977739914666206,False
v2,8,120,135,273,0.75,0.0183,10,4,14,0.0366,0.0147,0.7363,-0.003199999999999998,0.019200000000000106,0.0281,-0.41749017443894376,False
v2,9,135,150,268,0.7363,0.0112,11,3,12,0.041,0.0112,0.728,-0.0071,0.0027999999999999137,0.016999999999999998,-0.46123545540878585,False
v2,10,150,165,265,0.728,0.0075,10,5,11,0.0377,0.0189,0.7225,-0.0037,0.005400000000000071,0.012333333333333333,-0.4840322919705345,False
v2,11,165,180,263,0.7225,0.0114,12,4,10,0.0456,0.0152,0.7143,0.0039000000000000007,0.0028000000000000247,0.010033333333333333,-0.4600031939730157,False
v2,12,180,195,260,0.7143,0.0154,14,5,8,0.0538,0.0192,0.7033,0.004,-0.0027000000000000357,0.011433333333333332,-0.43535796525761167,False
v2,13,195,210,256,0.7033,0.0117,9,4,12,0.0352,0.0156,0.6951,-0.0037,-0.0028000000000000247,0.012833333333333334,-0.45815480181936036,False
v2,14,210,225,253,0.6951,0.0079,11,4,8,0.0435,0.0158,0.6896,-0.0037999999999999996,0.0028000000000000247,0.011666666666666667,-0.4815677690989941,False
v2,15,225,240,251,0.6896,0.0,8,4,11,0.0319,0.0159,0.6896,-0.0079,0.0026999999999999247,0.006533333333333335,-0.5302420958119171,False
v2,16,240,255,251,0.6896,0.0,1,2,15,0.004,0.008,0.6896,0.0,0.00550000000000006,0.0026333333333333334,-0.5302420958119171,False
v2,17,255,270,251,0.6896,0.004,6,3,10,0.0239,0.012,0.6868,0.004,0.0,0.0013333333333333333,-0.5055968670965131,False
v2,18,270,285,250,0.6868,0.008,11,3,14,0.044,0.012,0.6813,0.004,-0.0028000000000000247,0.004,-0.480951638381109,False
v2,19,285,300,248,0.6813,0.0121,8,4,17,0.0323,0.0161,0.6731,0.0040999999999999995,-0.0026999999999999247,0.008033333333333333,-0.45569027894781994,False
v2,20,300,315,245,0.6731,0.0122,8,5,14,0.0327,0.0204,0.6648,0.00010000000000000113,-0.0027000000000000357,0.010766666666666667,-0.45507414822993486,False
v2,21,315,330,242,0.6648,0.0083,5,2,10,0.0207,0.0083,0.6593,-0.0039000000000000007,-0.00010000000000010001,0.010866666666666669,-0.47910324622745376,False
v2,22,330,345,240,0.6593,0.0125,8,2,12,0.0333,0.0083,0.6511,0.004200000000000001,0.0028000000000001357,0.011000000000000001,-0.4532257560762796,False
v2,23,345,360,237,0.6511,0.0084,6,1,13,0.0253,0.0042,0.6456,-0.004100000000000001,-0.0027000000000000357,0.009733333333333332,-0.47848711550956863,False
v2,24,360,375,235,0.6456,0.0,9,4,13,0.0383,0.017,0.6456,-0.0084,0.0026999999999999247,0.006966666666666667,-0.5302420958119171,False
v2,25,375,390,235,0.6456,0.0043,7,4,9,0.0298,0.017,0.6429,0.0043,0.00550000000000006,0.004233333333333333,-0.5037484749428578,False
v2,26,390,405,234,0.6429,0.0214,19,5,10,0.0812,0.0214,0.6291,0.017099999999999997,-0.0026999999999999247,0.008566666666666667,-0.39839012218450565,False
v2,27,405,420,229,0.6291,0.0131,27,3,7,0.1179,0.0131,0.6209,-0.008299999999999998,-0.01110000000000011,0.012933333333333333,-0.44952897176896894,False
v2,28,420,435,226,0.6209,0.0354,44,4,14,0.1947,0.0177,0.5989,0.0223,0.005600000000000049,0.0233,-0.3121318216805916,False
v2,29,435,450,218,0.5989,0.0367,49,5,5,0.2248,0.0229,0.5769,0.0013000000000000025,-0.013800000000000034,0.028399999999999998,-0.30412212234808533,False
v2,30,450,465,210,0.5769,0.0476,52,3,4,0.2476,0.0143,0.5495,0.0109,0.0,0.0399,-0.23696387409860942,False
v2,31,465,480,200,0.5495,0.06,57,3,10,0.285,0.015,0.5165,0.012399999999999994,-0.00539999999999996,0.048100000000000004,-0.16056366508085707,False
v2,32,480,495,188,0.5165,0.0798,48,1,11,0.2553,0.0053,0.4753,0.019799999999999998,-0.005600000000000049,0.06246666666666666,-0.03856978293960727,False
