video_id,segment_id,start,end,n_viewers_reached,completion_rate,dropoff_rate,n_pauses,n_replays,n_seeks,avg_pause_rate,avg_replay_rate,retention_next,dropoff_velocity,completion_acceleration,dropoff_trend_3seg,dropoff_relative_score,is_relative_outlier,expected_completion,attrition_residual,residual_norm,pause_norm,dropoff_norm,bored_score,is_bored
v1,0,0,15,373,1.0,0.0751,158,49,185,0.4236,0.1314,0.9249,0.0,0.0,0.0751,-0.483241169847948,False,1.0,0.0,0.584564025520925,0.44125,0.065568801778137,0.3483031309196248,False
v1,1,15,30,345,0.9249,0.0841,87,28,121,0.2522,0.0812,0.8472,0.0089999999999999,0.0,0.0796,-0.4525381679017099,False,0.9438590977861168,0.018959097786116708,0.6793965057172601,0.2627083333333333,0.0746615477874318,0.3541648880685434,False
v1,2,30,45,316,0.8472,0.0538,65,21,66,0.2057,0.0665,0.8016,-0.0302999999999999,-0.0026000000000001,0.071,-0.5559049411207116,False,0.8877191058118115,0.04051910581181151,0.787238611770784,0.21427083333333333,0.04404930288947262,0.3753693325307693,False
v1,3,45,60,299,0.8016,0.0167,50,18,78,0.1672,0.0602,0.7882,-0.0371,0.0321000000000001,0.0515333333333333,-0.6824695380324266,False,0.8315800240629869,0.029980024062986943,0.7345226401297267,0.17416666666666666,0.0065669832289351375,0.33126918267679806,False
v1,4,60,75,294,0.7882,0.0102,40,15,69,0.1361,0.051,0.7802,-0.0064999999999999,0.0322,0.0268999999999999,-0.704643928326932,False,0.7754418525246365,-0.012758147475363524,0.5207483956081289,0.14177083333333335,0.0,0.23665352490991826,False
v1,5,75,90,291,0.7802,0.0103,52,16,61,0.1787,0.055,0.7721,9.99999999999994e-05,0.0053999999999999,0.0124,-0.7043027838608626,False,0.7193045911817535,-0.06089540881824651,0.27996816785132167,0.18614583333333334,0.00010103051121438613,0.1492568460116811,False
v1,6,90,105,288,0.7721,0.0625,107,12,63,0.3715,0.0417,0.7239,0.0521999999999999,-9.9999999999989e-05,0.0276666666666666,-0.5262253725726814,False,0.663168240019786,-0.10893175998021398,0.03969268788585116,0.38697916666666665,0.05283895736512426,0.1144084914337235,False
v1,7,105,120,270,0.7239,0.1667,253,16,55,0.937,0.0593,0.6032,0.1041999999999999,-0.0401,0.0798333333333333,-0.1707528389284577,False,0.6070327990246369,-0.11686720097536307,0.0,0.9760416666666668,0.15811275005051523,0.2584534333535395,False
v1,8,120,135,225,0.6032,0.2711,216,13,26,0.96,0.0578,0.4397,0.1044,-0.0725,0.1667666666666666,0.1854019836479046,False,0.55089826818039,-0.05230173181960995,0.3229533200447809,1.0,0.26358860375833504,0.4346167695212464,True
v1,9,135,150,164,0.4397,0.0915,45,6,19,0.2744,0.0366,0.3995,-0.1796,-0.0427999999999999,0.1764333333333333,-0.4272934774125808,False,0.4947646474729481,0.05506464747294815,0.8599947000132743,0.28583333333333333,0.08213780561729642,0.434019668918895,True
v1,10,150,165,149,0.3995,0.0537,13,6,25,0.0872,0.0403,0.378,-0.0378,0.1233,0.1387666666666666,-0.556246085586781,False,0.4386319368873046,0.0391319368873046,0.7803000606305182,0.09083333333333334,0.043948272378258234,0.34786599987017724,False
v1,11,165,180,141,0.378,0.0638,11,6,23,0.078,0.0426,0.3539,0.0100999999999999,0.0186999999999999,0.0696666666666666,-0.5217904945137805,False,0.3825001364093623,0.00450013640936231,0.6070734878242505,0.08125,0.05415235401091129,0.28074033673406473,False
v1,12,180,195,132,0.3539,0.0758,11,2,26,0.0833,0.0152,0.3271,0.012,-0.0025999999999999,0.0644333333333333,-0.4808531585854628,False,0.32636924602320505,-0.02753075397679494,0.44685654013591813,0.08677083333333334,0.06627601535663771,0.22260718886368902,False
v1,13,195,210,122,0.3271,0.3934,7,5,19,0.0574,0.041,0.1984,0.3176,-0.0026999999999999,0.1776666666666666,0.6026216656506741,False,0.2702392657151904,-0.05686073428480959,0.30014941260817907,0.05979166666666667,0.38714891897353004,0.286877665966017,False
v1,14,210,225,74,0.1984,0.4189,6,1,9,0.0811,0.0135,0.1153,0.0254999999999999,-0.1019,0.2960333333333333,0.6896135044983487,False,0.214110195469857,0.015710195469856997,0.66314565517351,0.08447916666666667,0.4129116993331986,0.4473187751360168,True
v1,15,225,240,43,0.1153,0.8372,0,1,7,0.0,0.0233,0.0188,0.4183,0.0456,0.5498333333333333,2.116620806066284,True,0.15798203527219812,0.04268203527219812,0.7980574791837884,0.0,0.8355223277429784,0.6534319227707068,True
v1,16,240,244,7,0.0188,1.0,0,0,0,0.0,0.0,0.0188,0.1627999999999999,-0.0134,0.7520333333333333,2.672003996827124,True,0.10185478510857138,0.08305478510857138,1.0,0.0,1.0,0.8,True
v2,0,0,15,364,1.0,0.011,43,24,72,0.1181,0.0659,0.989,0.0,0.0,0.011,-0.462467716844556,False,1.0,0.0,0.42240477462249404,0.41438596491228075,0.01400025455008273,0.25743920465148684,False
v2,1,15,30,360,0.989,0.0306,59,19,68,0.1639,0.0528,0.9588,0.0196,0.0,0.0208,-0.3417060961390764,False,0.9826962395300143,-0.006303760469985709,0.3971313477352545,0.5750877192982456,0.038946162657502864,0.28944854801675207,False
v2,2,30,45,349,0.9588,0.063,48,8,35,0.1375,0.0229,0.8984,0.0324,-0.0191999999999999,0.0348666666666666,-0.142079743544304,False,0.9653926061914717,0.006592606191471728,0.44883625966540547,0.48245614035087725,0.08018327605956473,0.30809904236016356,False
v2,3,45,60,327,0.8984,0.0306,30,7,33,0.0917,0.0214,0.8709,-0.0324,-0.0302,0.0414,-0.3417060961390764,False,0.9480890999825533,0.04968909998255333,0.6216213916689607,0.32175438596491235,0.038946162657502864,0.3285778989235679,False
v2,4,60,75,317,0.8709,0.0379,17,13,26,0.0536,0.041,0.8379,0.0073,0.0329,0.0438333333333333,-0.2967285537334641,False,0.9307857209028043,0.05988572090280431,0.6625023157700385,0.18807017543859653,0.04823724067710323,0.32190985766657604,False
v2,5,75,90,305,0.8379,0.0426,31,10,23,0.1016,0.0328,0.8022,0.0046999999999999,-0.0055,0.0370333333333333,-0.2677704099928644,False,0.9134824689508605,0.07558246895086052,0.7254346901914397,0.35649122807017547,0.054219167621229476,0.3831597887391028,True
v2,6,90,105,292,0.8022,0.0445,16,7,19,0.0548,0.024,0.7665,0.0018999999999999,-0.0026999999999999,0.0416666666666666,-0.2560639263530475,False,0.8961793441262671,0.09397934412626707,0.7991925815188625,0.192280701754386,0.05663739340715286,0.3807881303212834,True
v2,7,105,120,279,0.7665,0.0215,10,7,21,0.0358,0.0251,0.75,-0.023,-1.1102230246251563e-16,0.0362,-0.3977739914666206,False,0.8788763464281146,0.11237634642811467,0.8729509825294861,0.12561403508771932,0.027364133893343516,0.38524885358667577,True
v2,8,120,135,273,0.75,0.0183,10,4,14,0.0366,0.0147,0.7363,-0.0031999999999999,0.0192000000000001,0.0281,-0.4174901744389437,False,0.8615734758550389,0.11157347585503885,0.869732064103705,0.12842105263157896,0.023291332569683087,0.382893569195671,True
v2,9,135,150,268,0.7363,0.0112,11,3,12,0.041,0.0112,0.728,-0.0071,0.0027999999999999,0.0169999999999999,-0.4612354554087858,False,0.844270732406585,0.10797073240658506,0.8552877219413536,0.14385964912280705,0.014254804632811506,0.37658894045422747,True
v2,10,150,165,265,0.728,0.0075,10,5,11,0.0377,0.0189,0.7225,-0.0037,0.0054,0.0123333333333333,-0.4840322919705345,False,0.8269681160813889,0.09896811608138889,0.8191938750110894,0.13228070175438597,0.009545628102329133,0.3579519415962446,True
v2,11,165,180,263,0.7225,0.0114,12,4,10,0.0456,0.0152,0.7143,0.0039,0.0028,0.0100333333333333,-0.4600031939730157,False,0.8096656268785409,0.0871656268785409,0.7718746043351385,0.16000000000000003,0.014509354715540284,0.3465535836202716,True
v2,12,180,195,260,0.7143,0.0154,14,5,8,0.0538,0.0192,0.7033,0.004,-0.0027,0.0114333333333333,-0.4353579652576116,False,0.7923632647975865,0.0780632647975864,0.7353808505433315,0.18877192982456142,0.019600356370115823,0.33974686873029125,True
v2,13,195,210,256,0.7033,0.0117,9,4,12,0.0352,0.0156,0.6951,-0.0037,-0.0028,0.0128333333333333,-0.4581548018193603,False,0.7750610298367064,0.0717610298367064,0.7101135398216779,0.12350877192982458,0.014891179839633449,0.3147036422504894,False
v2,14,210,225,253,0.6951,0.0079,11,4,8,0.0435,0.0158,0.6896,-0.0037999999999999,0.0028,0.0116666666666666,-0.4815677690989941,False,0.7577589219963556,0.06265892199635559,0.6736208053470448,0.15263157894736842,0.01005472826778669,0.30399652923540627,False
v2,15,225,240,251,0.6896,0.0,8,4,11,0.0319,0.0159,0.6896,-0.0079,0.0026999999999999,0.0065333333333333,-0.5302420958119171,False,0.7404569412742603,0.050856941274260326,0.6263035733036196,0.1119298245614035,0.0,0.27290739423372856,False
v2,16,240,255,251,0.6896,0.0,1,2,15,0.004,0.008,0.6896,0.0,0.0055,0.0026333333333333,-0.5302420958119171,False,0.7231550876699657,0.03355508766996573,0.5569359102771003,0.014035087719298248,0.0,0.2255813816546998,False
v2,17,255,270,251,0.6896,0.004,6,3,10,0.0239,0.012,0.6868,0.004,0.0,0.0013333333333333,-0.5055968670965131,False,0.7058533611830171,0.016253361183017123,0.4875687568973173,0.08385964912280702,0.005091001654575538,0.21383583324531857,False
v2,18,270,285,250,0.6868,0.008,11,3,14,0.044,0.012,0.6813,0.004,-0.0028,0.004,-0.480951638381109,False,0.6885517618115955,0.0017517618115955313,0.42942804656945593,0.1543859649122807,0.010182003309151077,0.20672121293389895,False
v2,19,285,300,248,0.6813,0.0121,8,4,17,0.0323,0.0161,0.6731,0.0040999999999999,-0.0026999999999999,0.0080333333333333,-0.4556902789478199,False,0.6712502895552461,-0.01004971044475389,0.3821128530983897,0.11333333333333336,0.015400280005091003,0.18167191990805895,False
v2,20,300,315,245,0.6731,0.0122,8,5,14,0.0327,0.0204,0.6648,0.0001,-0.0027,0.0107666666666666,-0.4550741482299348,False,0.6539489444130595,-0.019151055586940524,0.34562317648047275,0.11473684210526316,0.015527555046455392,0.1674076610318239,False
v2,21,315,330,242,0.6648,0.0083,5,2,10,0.0207,0.0083,0.6593,-0.0039,-0.0001000000000001,0.0108666666666666,-0.4791032462274537,False,0.6366477263841261,-0.028152273615873802,0.30953493568618645,0.07263157894736842,0.010563828433244242,0.14256582143724597,False
v2,22,330,345,240,0.6593,0.0125,8,2,12,0.0333,0.0083,0.6511,0.0042,0.0028000000000001,0.011,-0.4532257560762796,False,0.6193466354670818,-0.0399533645329182,0.26222127110427945,0.11684210526315791,0.01590938017054856,0.1346206815625628,False
v2,23,345,360,237,0.6511,0.0084,6,1,13,0.0253,0.0042,0.6456,-0.0041,-0.0027,0.0097333333333333,-0.4784871155095686,False,0.6020456716619265,-0.04905432833807355,0.2257331233664057,0.0887719298245614,0.010691103474608629,0.11232407670131803,False
v2,24,360,375,235,0.6456,0.0,9,4,13,0.0383,0.017,0.6456,-0.0084,0.0026999999999999,0.0069666666666666,-0.5302420958119171,False,0.5847448349668412,-0.0608551650331588,0.17842047802692204,0.13438596491228072,0.0,0.09824538419322495,False
v2,25,375,390,235,0.6456,0.0043,7,4,9,0.0298,0.017,0.6429,0.0043,0.0055,0.0042333333333333,-0.5037484749428578,False,0.5674441253809164,-0.07815587461908358,0.10905740166970354,0.10456140350877194,0.005472826778668703,0.0667243720811033,False
v2,26,390,405,234,0.6429,0.0214,19,5,10,0.0812,0.0214,0.6291,0.0170999999999999,-0.0026999999999999,0.0085666666666666,-0.3983901221845056,False,0.5501435429036974,-0.09275645709630265,0.05051984214375543,0.2849122807017544,0.027236858851979125,0.0880851365386447,False
v2,27,405,420,229,0.6291,0.0131,27,3,7,0.1179,0.0131,0.6209,-0.0082999999999999,-0.0111000000000001,0.0129333333333333,-0.4495289717689689,False,0.5328430875342747,-0.09625691246572532,0.03648559968286611,0.4136842105263158,0.01667303041873489,0.10400029414590356,False
v2,28,420,435,226,0.6209,0.0354,44,4,14,0.1947,0.0177,0.5989,0.0223,0.0056,0.0233,-0.3121318216805916,False,0.515542759271284,-0.105357240728716,0.0,0.6831578947368422,0.04505536464299351,0.15465372480456585,False
v2,29,435,450,218,0.5989,0.0367,49,5,5,0.2248,0.0229,0.5769,0.0013,-0.0138,0.0283999999999999,-0.3041221223480853,False,0.49824255811427065,-0.10065744188572934,0.018842724594074812,0.7887719298245615,0.04670994018073057,0.18397545187483447,False
v2,30,450,465,210,0.5769,0.0476,52,3,4,0.2476,0.0143,0.5495,0.0109,0.0,0.0399,-0.2369638740986094,False,0.4809424840614156,-0.09595751593858437,0.037685958782013064,0.8687719298245614,0.06058291968944891,0.2130619373534971,False
v2,31,465,480,200,0.5495,0.06,57,3,10,0.285,0.015,0.5165,0.0123999999999999,-0.0053999999999999,0.0481,-0.160563665080857,False,0.46364253711271886,-0.08585746288728113,0.07817971700216507,1.0,0.07636502481863307,0.2618178967283193,False
v2,32,480,495,188,0.5165,0.0798,48,1,11,0.2553,0.0053,0.4753,0.0197999999999999,-0.0056,0.0624666666666666,-0.0385697829396072,False,0.4463427172668162,-0.07015728273318378,0.14112585163566715,0.8957894736842107,0.10156548300878197,0.27623442859462183,False
v2,33,495,510,173,0.4753,0.052,20,1,6,0.1156,0.0058,0.4505,-0.0278,-0.0081999999999999,0.0639333333333333,-0.209854122511665,False,0.4290430245232528,-0.046256975476747175,0.2369484437065681,0.4056140350877193,0.06618302150948199,0.2023753931039639,False
v2,34,510,525,164,0.4505,0.0366,19,5,8,0.1159,0.0305,0.4341,-0.0153999999999999,0.0163999999999999,0.0561333333333333,-0.3047382530659704,False,0.4117434588802098,-0.03875654111979021,0.26701964965508995,0.40666666666666673,0.046582665139366174,0.2067742592511158,False
v2,35,525,540,158,0.4341,0.0759,14,0,3,0.0886,0.0,0.4011,0.0392999999999999,0.0083999999999999,0.0548333333333333,-0.0625988809371261,False,0.3944440203376871,-0.03965597966231288,0.26341356494545576,0.31087719298245614,0.09660175639557082,0.20618156713290187,False
v2,36,540,555,146,0.4011,0.0137,3,1,7,0.0205,0.0068,0.3956,-0.0621999999999999,-0.0165999999999999,0.0420666666666666,-0.4458321874616583,False,0.37714470889386575,-0.023955291106134258,0.326361737896069,0.07192982456140352,0.01743668066692122,0.15190533233747677,False
v2,37,555,570,144,0.3956,0.0278,8,2,8,0.0556,0.0139,0.3846,0.0140999999999999,0.0274999999999999,0.0391333333333333,-0.3589577562398592,False,0.359845524548291,-0.03575447545170901,0.2790557172585778,0.19508771929824562,0.03538246149929999,0.16479281536280024,False
v2,38,570,585,140,0.3846,0.0071,0,2,2,0.0,0.0143,0.3819,-0.0206999999999999,-0.0055,0.0162,-0.4864968148420749,False,0.3425464673005081,-0.04205353269949191,0.2538011468210785,0.0,0.009036527936871581,0.10513506990318004,False
v2,39,585,600,139,0.3819,0.0647,5,2,7,0.036,0.0144,0.3571,0.0575999999999999,0.0083,0.0332,-0.1316055213402573,False,0.3252475371491528,-0.05665246285084724,0.1952702119023169,0.12631578947368421,0.08234695176275932,0.13631002336076734,False
v2,40,600,615,130,0.3571,0.1231,2,1,8,0.0154,0.0077,0.3132,0.0584,-0.0221,0.0649666666666666,0.228214817904641,False,0.3079487340924061,-0.04915126590759389,0.22534447525904755,0.054035087719298255,0.1566755759195622,0.16361503801530355,False
v2,41,615,630,114,0.3132,0.1404,3,0,4,0.0263,0.0,0.2692,0.0172999999999999,-0.0190999999999999,0.1094,0.3348054320987633,False,0.29065005813072275,-0.022549941869277224,0.33199615109400965,0.09228070175438598,0.17869415807560138,0.22273226401872162,False
v2,42,630,645,98,0.2692,0.1429,2,0,1,0.0204,0.0,0.2308,0.0025,-9.9999999999989e-05,0.1354666666666666,0.3502087000458908,False,0.2733515092622838,0.0041515092622838035,0.4390492626723811,0.07157894736842106,0.1818760341097111,0.2626859081865211,False
v2,43,645,660,84,0.2308,0.1429,1,0,1,0.0119,0.0,0.1978,0.0,0.0055999999999999,0.1420666666666666,0.3502087000458908,False,0.2560530874870892,0.02525308748708921,0.5236510169759031,0.04175438596491229,0.1818760341097111,0.29056169762722817,False
v2,44,660,675,72,0.1978,0.1806,0,2,3,0.0,0.0278,0.1621,0.0377,0.0053999999999999,0.1554666666666666,0.5824899806885736,False,0.23875479280286527,0.040954792802865264,0.5866032663820653,0.0,0.22985872470408555,0.32658479643446037,False
v2,45,675,690,59,0.1621,0.2712,0,1,2,0.0,0.0169,0.1181,0.0905999999999999,-0.0027,0.1982333333333333,1.1407044110924742,True,0.22145662520961196,0.05935662520961196,0.6603810325483934,0.0,0.34516991218022147,0.40222037789144593,True
v2,46,690,705,43,0.1181,0.3256,1,0,0,0.0233,0.0,0.0797,0.0544,-0.0082999999999999,0.2591333333333334,1.475879521621969,True,0.2041585847064198,0.08605858470641979,0.767436182296197,0.08175438596491229,0.4144075346824488,0.48908836398444083,True
v2,47,705,720,29,0.0797,0.5172,0,0,0,0.0,0.0,0.0385,0.1916,0.0055999999999999,0.3713333333333333,2.65638597708982,True,0.18686067129192452,0.10716067129192453,0.852039974750919,0.0,0.6582665139366171,0.6041225954750145,True
v2,48,720,735,14,0.0385,0.7857,0,0,2,0.0,0.0,0.0082,0.2684999999999999,-0.0027999999999999,0.5428333333333333,4.310696954611314,True,0.1695628849656714,0.1310628849656714,0.9478702101481704,0.0,1.0,0.7791480840592682,True
v2,49,735,737,3,0.0082,0.6667,0,0,0,0.0,0.0,0.0082,-0.119,0.0108999999999999,0.6565333333333333,3.5775014003280443,True,0.1522652257262962,0.14406522572629618,1.0,0.0,0.8485427007763777,0.7394170803105511,True
v3,0,0,15,375,1.0,0.016,75,21,118,0.2,0.056,0.984,0.0,0.0,0.016,-0.4669598976436728,False,1.0,0.0,0.4769324359782432,0.3716781267422412,0.016,0.2715085997397455,False
v3,1,15,30,369,0.984,0.0461,62,19,82,0.168,0.0515,0.9387,0.0301,0.0,0.03105,-0.3272396133093455,False,0.9779807066161084,-0.006019293383891622,0.45917900540287265,0.3122096264634826,0.0461,0.26455352745384564,False
v3,2,30,45,352,0.9387,0.0369,45,16,51,0.1278,0.0455,0.904,-0.0092,-0.0292999999999999,0.033,-0.3699448164945884,False,0.955961502874743,0.01726150287474304,0.5278438758049526,0.23750232298829213,0.0369,0.2733980149196395,False
v3,3,45,60,339,0.904,0.0413,45,16,44,0.1327,0.0472,0.8667,0.0044,0.0106,0.0414333333333333,-0.3495205888842548,False,0.9339423887749945,0.029942388774994444,0.5652451475334219,0.24660843709347707,0.0413,0.2919397464320642,False
v3,4,60,75,325,0.8667,0.0308,28,7,31,0.0862,0.0215,0.84,-0.0105,-0.0026,0.0363333333333333,-0.3982602229543689,False,0.9119233643177722,0.045223364317772186,0.6103151783693742,0.16019327262590596,0.0308,0.2884847258729309,False
v3,5,75,90,315,0.84,0.0317,24,8,43,0.0762,0.0254,0.8133,0.0008999999999999,0.0105999999999999,0.0346,-0.3940825400340735,False,0.8899044295021667,0.04990442950216678,0.6241216105317161,0.1416093662887939,0.0317,0.29065051747044524,False
v3,6,90,105,305,0.8133,0.0131,12,3,31,0.0393,0.0098,0.8027,-0.0186,1.1102230246251563e-16,0.0252,-0.4804213203868472,False,0.8678855843272686,0.054585584327268566,0.6379283070822462,0.0730347519048504,0.0131,0.2750182732138686,False
v3,7,105,120,301,0.8027,0.0166,19,7,20,0.0631,0.0233,0.7893,0.0034999999999999,0.0160999999999998,0.0204666666666666,-0.4641747756968091,False,0.8458668287930777,0.04316682879307776,0.6042495892154791,0.11726444898717711,0.0166,0.2717927254836271,False
v3,8,120,135,296,0.7893,0.0,14,5,24,0.0473,0.0169,0.7893,-0.0166,-0.0027999999999999,0.0099,-0.541229816226704,False,0.8238481628995942,0.03454816289959417,0.5788295146595934,0.08790187697454005,0.0,0.24911218125874537,False
v3,9,135,150,296,0.7893,0.0101,20,8,33,0.0676,0.027,0.7813,0.0101,0.0133999999999999,0.0089,-0.4943469301211655,False,0.8018295866449989,0.012529586644998925,0.5138874624993567,0.12562720683887751,0.0101,0.23472042636751816,False
v3,10,150,165,293,0.7813,0.0137,23,5,23,0.0785,0.0171,0.7707,0.0036,-0.008,0.0079333333333333,-0.4776361984399835,False,0.779811100031111,-0.0014888999688890125,0.47254104307786043,0.14588366474632966,0.0137,0.22367315018041012,False
v3,11,165,180,289,0.7707,0.0069,18,9,17,0.0623,0.0311,0.7653,-0.0068,-0.0025999999999999,0.0102333333333333,-0.5092009138377718,False,0.7577927030561113,-0.012907296943888702,0.43886338275311704,0.11577773648020814,0.0069,0.20146090039728848,False
v3,12,180,195,287,0.7653,0.0139,17,6,30,0.0592,0.0209,0.7547,0.0069999999999999,0.0051999999999998,0.0115,-0.4767078244576956,False,0.73577439572,-0.02952560427999995,0.38984899738333867,0.1100167255157034,0.0139,0.18350294405647616,False
v3,13,195,210,283,0.7547,0.0106,16,6,27,0.0565,0.0212,0.7467,-0.0032999999999999,-0.0051999999999998,0.0104666666666666,-0.4920259951654458,False,0.713756178022777,-0.040943821977223016,0.3561718658242423,0.10499907080468314,0.0106,0.16770856049063357,False
v3,14,210,225,280,0.7467,0.0107,14,8,23,0.05,0.0286,0.7387,9.99999999999994e-05,0.0025999999999999,0.0117333333333333,-0.4915618081743018,False,0.6917380499635328,-0.0549619500364672,0.3148265039313578,0.0929195316855603,0.0107,0.1487945079096552,False
v3,15,225,240,277,0.7387,0.0072,12,5,25,0.0433,0.0181,0.7333,-0.0034999999999999,0.0,0.0095,-0.5078083528643399,False,0.6697200115422675,-0.06897998845773257,0.2734814064186143,0.08046831443969522,0.0072,0.12836622545538476,False
v3,16,240,255,275,0.7333,0.0109,11,7,26,0.04,0.0255,0.7253,0.0037,0.0025999999999999,0.0096,-0.4906334341920139,False,0.6477020627580714,-0.08559793724192855,0.22446807856940013,0.07433562534844824,0.0109,0.10901435649744971,False
v3,17,255,270,272,0.7253,0.011,19,6,22,0.0699,0.0221,0.7173,9.99999999999994e-05,-0.0025999999999999,0.0096999999999999,-0.49016924720087,False,0.6256842036109447,-0.09961579638905527,0.18312350981157377,0.1299015052964133,0.011,0.10362970498391218,False
v3,18,270,285,269,0.7173,0.0074,15,3,23,0.0558,0.0112,0.712,-0.0035999999999999,1.1102230246251563e-16,0.0097666666666666,-0.506879978882052,False,0.6036664341008873,-0.11363356589911278,0.14177920543120567,0.1036981973610853,0.0074,0.08041132164469933,False
v3,19,285,300,267,0.712,0.015,19,3,21,0.0712,0.0112,0.7013,0.0075999999999999,0.0026999999999998,0.0111333333333333,-0.4716017675551122,False,0.5816487542269897,-0.13035124577301027,0.09247172860730285,0.13231741312023787,0.015,0.06945217406696871,False
v3,20,300,315,263,0.7013,0.0038,18,3,21,0.0684,0.0114,0.6987,-0.0112,-0.0053999999999998,0.0087333333333333,-0.523590710563234,False,0.559631163989252,-0.1416688360107481,0.05909138979479834,0.1271139193458465,0.0038,0.050579339787088645,False
v3,21,315,330,262,0.6987,0.0305,32,3,21,0.1221,0.0115,0.6773,0.0266999999999999,0.0080999999999998,0.0164333333333333,-0.3996527839278008,False,0.5376136633867645,-0.16108633661323546,0.0018210048994537777,0.22690949637613825,0.0305,0.05831030123500916,False
