session_id,video_id,n_events,speed_ratio,anomalie_vitesse,regularite_anormale,sans_interaction_video_longue,non_exploitable
s000001,v26,6,0.7,False,False,False,False
s000002,v20,6,1.0,False,False,False,False
s000003,v22,7,1.0,False,False,False,False
s000004,v6,6,1.0,False,False,False,False
s000005,v22,7,1.0,False,False,False,False
s000006,v4,11,1.0,False,False,False,False
s000007,v1,7,1.0,False,False,False,False
s000008,v16,8,1.0,False,False,False,False
s000009,v16,4,1.0,False,False,False,False
s000010,v23,6,1.0,False,False,False,False
s000011,v27,11,0.86,False,False,False,False
s000012,v18,9,2.07,False,False,False,False
s000013,v18,7,1.0,False,False,False,False
s000014,v5,8,1.0,False,False,False,False
s000015,v15,6,1.0,False,False,False,False
s000016,v1,10,1.0,False,False,False,False
s000017,v25,6,1.0,False,False,False,False
s000018,v9,7,1.0,False,False,False,False
s000019,v9,9,1.0,False,False,False,False
s000020,v7,4,1.0,False,False,False,False
s000021,v16,9,1.0,False,False,False,False
s000022,v30,5,1.0,False,False,False,False
s000023,v13,8,1.0,False,False,False,False
s000024,v2,4,1.0,False,False,False,False
s000025,v30,6,1.0,False,False,False,False
s000026,v22,4,1.0,False,False,False,False
s000027,v28,4,1.0,False,False,False,False
s000028,v24,8,1.0,False,False,False,False
s000029,v7,4,1.0,False,False,False,False
s000030,v11,11,1.0,False,False,False,False
s000031,v29,4,1.0,False,False,False,False
s000032,v29,6,1.0,False,False,False,False
s000033,v7,5,1.0,False,False,False,False
s000034,v15,9,1.0,False,False,False,False
s000035,v16,5,1.0,False,False,False,False
s000036,v3,4,1.0,False,False,False,False
s000037,v6,6,1.0,False,False,False,False
s000038,v18,5,1.0,False,False,False,False
s000039,v11,7,1.0,False,False,False,False
s000040,v6,7,1.0,False,False,False,False
s000041,v22,4,1.0,False,False,False,False
s000042,v23,8,1.0,False,False,False,False
s000043,v26,7,1.0,False,False,False,False
s000044,v24,7,1.0,False,False,False,False
s000045,v5,8,1.0,False,False,False,False
s000046,v19,12,1.0,False,False,False,False
s000047,v22,6,1.0,False,False,False,False
s000048,v20,8,0.95,False,False,False,False
s000049,v6,9,1.0,False,False,False,False
s000050,v10,9,2.85,False,False,False,False
s000051,v18,10,1.0,False,False,False,False
s000052,v17,5,1.0,False,False,False,False
s000053,v2,5,1.0,False,False,False,False
s000054,v17,8,0.83,False,False,False,False
s000055,v16,8,1.0,False,False,False,False
s000056,v15,4,1.0,False,False,False,False
s000057,v8,7,1.0,False,False,False,False
s000058,v8,11,1.0,False,False,False,False
s000059,v3,8,1.0,False,False,False,False
s000060,v5,6,1.0,False,False,False,False
s000061,v8,6,1.0,False,False,False,False
s000062,v26,5,0.94,False,False,False,False
s000063,v6,5,1.0,False,False,False,False
s000064,v13,6,1.0,False,False,False,False
s000065,v24,7,1.0,False,False,False,False
s000066,v29,10,1.0,False,False,False,False
s000067,v19,6,1.0,False,False,False,False
s000068,v21,8,1.0,False,False,False,False
s000069,v15,6,1.0,False,False,False,False
s000070,v23,7,1.0,False,False,False,False
s000071,v28,11,1.0,False,False,False,False
s000072,v9,10,0.94,False,False,False,False
s000073,v9,8,1.0,False,False,False,False
s000074,v8,7,0.99,False,False,False,False
s000075,v28,10,1.0,False,False,False,False
s000076,v12,7,1.0,False,False,False,False
s000077,v19,9,1.0,False,False,False,False
s000078,v27,9,1.0,False,False,False,False
s000079,v2,10,1.0,False,False,False,False
s000080,v4,8,1.0,False,False,False,False
s000081,v14,6,1.0,False,False,False,False
s000082,v15,7,1.0,False,False,False,False
s000083,v22,12,1.0,False,False,False,False
s000084,v8,6,1.0,False,False,False,False
s000085,v14,6,1.0,False,False,False,False
s000086,v1,6,0.99,False,False,False,False
s000087,v27,6,1.0,False,False,False,False
s000088,v28,8,1.0,False,False,False,False
s000089,v13,8,1.0,False,False,False,False
s000090,v9,11,1.0,False,False,False,False
s000091,v4,5,1.0,False,False,False,False
s000092,v15,5,1.0,False,False,False,False
s000093,v16,10,1.0,False,False,False,False
s000094,v22,5,1.0,False,False,False,False
s000095,v7,6,1.0,False,False,False,False
s000096,v30,4,1.0,False,False,False,False
s000097,v2,8,1.0,False,False,False,False
s000098,v27,6,1.0,False,False,False,False
s000099,v8,7,1.0,False,False,False,False
s000100,v10,7,1.0,False,False,False,False
s000101,v26,7,1.0,False,False,False,False
s000102,v8,13,1.0,False,False,False,False
s000103,v27,6,1.0,False,False,False,False
s000104,v16,7,1.0,False,False,False,False
s000105,v1,6,1.01,False,False,False,False
s000106,v26,7,1.0,False,False,False,False
s000107,v18,7,1.0,False,False,False,False
s000108,v23,8,1.0,False,False,False,False
s000109,v8,9,1.0,False,False,False,False
s000110,v22,8,1.0,False,False,False,False
s000111,v26,5,1.0,False,False,False,False
s000112,v4,6,1.0,False,False,False,False
s000113,v28,7,1.0,False,False,False,False
s000114,v5,9,2.86,False,False,False,False
s000115,v15,7,1.0,False,False,False,False
s000116,v19,9,1.0,False,False,False,False
s000117,v11,11,1.0,False,False,False,False
s000118,v8,10,1.0,False,False,False,False
s000119,v11,9,0.97,False,False,False,False
s000120,v8,7,1.0,False,False,False,False
s000121,v16,6,1.0,False,False,False,False
s000122,v9,10,1.0,False,False,False,False
s000123,v16,9,1.0,False,False,False,False
s000124,v4,3,1.0,False,False,False,False
s000125,v23,9,1.0,False,False,False,False
s000126,v28,7,1.0,False,False,False,False
s000127,v30,4,1.0,False,False,False,False
s000128,v10,5,1.0,False,False,False,False
s000129,v6,5,0.73,False,False,False,False
s000130,v19,6,1.0,False,False,False,False
s000131,v15,9,1.0,False,False,False,False
s000132,v18,10,1.0,False,False,False,False
s000133,v7,6,1.0,False,False,False,False
s000134,v25,10,1.0,False,False,False,False
s000135,v18,10,1.0,False,False,False,False
s000136,v28,11,1.0,False,False,False,False
s000137,v2,6,1.0,False,False,False,False
s000138,v20,4,1.0,False,False,False,False
s000139,v9,6,1.01,False,False,False,False
s000140,v26,10,1.0,False,False,False,False
s000141,v25,8,1.0,False,False,False,False
s000142,v3,9,1.0,False,False,False,False
s000143,v11,8,1.0,False,False,False,False
s000144,v4,6,1.0,False,False,False,False
s000145,v6,4,1.0,False,False,False,False
s000146,v10,10,1.0,False,False,False,False
s000147,v24,10,1.02,False,False,False,False
s000148,v14,5,1.0,False,False,False,False
s000149,v6,6,1.0,False,False,False,False
s000150,v18,7,1.0,False,False,False,False
s000151,v16,7,1.0,False,False,False,False
s000152,v28,6,2.86,False,False,False,False
s000153,v2,9,1.0,False,False,False,False
s000154,v27,11,1.0,False,False,False,False
s000155,v7,8,1.0,False,False,False,False
s000156,v12,6,1.0,False,False,False,False
s000157,v25,9,1.0,False,False,False,False
s000158,v27,9,1.0,False,False,False,False
s000159,v7,7,0.89,False,False,False,False
s000160,v2,8,1.0,False,False,False,False
s000161,v14,5,1.0,False,False,False,False
s000162,v11,5,1.0,False,False,False,False
s000163,v27,5,1.0,False,False,False,False
s000164,v6,4,1.0,False,False,False,False
s000165,v3,13,1.0,False,False,False,False
s000166,v21,9,1.0,False,False,False,False
s000167,v19,6,1.0,False,False,False,False
s000168,v29,6,0.93,False,False,False,False
s000169,v9,10,1.0,False,False,False,False
s000170,v29,6,1.0,False,False,False,False
s000171,v26,4,0.46,False,False,False,False
s000172,v4,5,1.0,False,False,False,False
s000173,v23,6,1.0,False,False,False,False
s000174,v16,6,1.0,False,False,False,False
s000175,v11,5,1.0,False,False,False,False
s000176,v22,4,1.0,False,False,False,False
s000177,v1,7,1.0,False,False,False,False
s000178,v7,6,1.0,False,False,False,False
s000179,v13,7,1.0,False,False,False,False
s000180,v24,8,2.85,False,False,False,False
s000181,v13,6,1.0,False,False,False,False
s000182,v6,13,1.0,False,False,False,False
s000183,v25,5,1.0,False,False,False,False
s000184,v28,4,1.0,False,False,False,False
s000185,v7,7,1.0,False,False,False,False
s000186,v9,7,1.0,False,False,False,False
s000187,v3,6,1.0,False,False,False,False
s000188,v19,4,1.0,False,False,False,False
s000189,v23,7,1.0,False,False,False,False
s000190,v22,5,1.0,False,False,False,False
s000191,v15,6,1.0,False,False,False,False
s000192,v23,8,1.0,False,False,False,False
s000193,v12,7,1.0,False,False,False,False
s000194,v29,6,1.0,False,False,False,False
s000195,v17,7,1.0,False,False,False,False
s000196,v23,4,1.0,False,False,False,False
s000197,v22,7,1.0,False,False,False,False
s000198,v16,8,1.0,False,False,False,False
s000199,v18,9,1.0,False,False,False,False
s000200,v1,4,1.0,False,False,False,False
s000201,v4,8,1.0,False,False,False,False
s000202,v8,6,1.0,False,False,False,False
s000203,v7,6,1.0,False,False,False,False
s000204,v9,6,1.0,False,False,False,False
s000205,v15,6,1.0,False,False,False,False
s000206,v23,11,1.0,False,False,False,False
s000207,v1,8,1.0,False,False,False,False
s000208,v28,6,1.0,False,False,False,False
s000209,v1,7,1.0,False,False,False,False
s000210,v9,4,1.0,False,False,False,False
s000211,v24,9,1.0,False,False,False,False
s000212,v2,6,1.01,False,False,False,False
s000213,v13,7,1.0,False,False,False,False
s000214,v9,4,1.0,False,False,False,False
s000215,v6,6,1.0,False,False,False,False
