session_id,video_id,duration_sec,last_position,watch_ratio,n_pauses,n_seeks,n_plays,n_replays,n_events,pauses_per_min,seeks_per_min,is_completed
s000001,v26,661,443.8,0.6714069591527988,3,1,1,0,6,0.40558810274898605,0.135196034249662,0
s000002,v20,759,419.7,0.5529644268774704,3,0,1,1,6,0.42887776983559683,0.0,0
s000003,v22,323,207.7,0.6430340557275541,2,2,1,1,7,0.5777563793933559,0.5777563793933559,0
s000004,v6,446,399.0,0.8946188340807175,2,1,1,1,6,0.3007518796992481,0.15037593984962405,1
s000005,v22,323,96.8,0.2996904024767802,0,4,1,0,7,0.0,2.479338842975207,0
s000006,v4,882,561.5,0.6366213151927438,7,2,1,0,11,0.7479964381121995,0.213713268032057,0
s000007,v1,244,223.6,0.9163934426229507,3,1,1,1,7,0.8050089445438283,0.26833631484794274,1
s000008,v16,316,311.8,0.9867088607594937,3,3,1,0,8,0.5772931366260423,0.5772931366260423,1
s000009,v16,316,259.5,0.8212025316455697,1,1,1,0,4,0.23121387283236994,0.23121387283236994,1
s000010,v23,379,4.9,0.012928759894459104,1,2,1,1,6,12.244897959183671,24.489795918367342,0
s000011,v27,587,261.5,0.4454855195911414,2,7,1,0,11,0.4588910133843212,1.6061185468451242,0
s000012,v18,494,353.26111706548124,0.7151034758410552,3,4,1,1,9,0.5095381045478459,0.6793841393971278,0
s000013,v18,494,331.3,0.6706477732793522,5,1,0,0,7,0.9055236945366737,0.18110473890733475,0
s000014,v5,540,416.5,0.7712962962962963,2,3,1,1,8,0.28811524609843936,0.43217286914765907,0
s000015,v15,752,181.5,0.24135638297872342,2,1,1,1,6,0.6611570247933884,0.3305785123966942,0
s000016,v1,244,117.7,0.48237704918032787,2,4,1,1,10,1.0195412064570943,2.0390824129141887,0
s000017,v25,496,494.0,0.9959677419354839,1,2,1,1,6,0.12145748987854252,0.24291497975708504,1
s000018,v9,298,42.4,0.14228187919463087,3,2,1,0,7,4.245283018867925,2.830188679245283,0
s000019,v9,298,272.1,0.9130872483221477,5,1,1,0,9,1.1025358324145533,0.2205071664829107,1
s000020,v7,504,27.2,0.053968253968253964,1,1,1,0,4,2.2058823529411766,2.2058823529411766,0
s000021,v16,316,272.5,0.8623417721518988,4,2,1,1,9,0.8807339449541284,0.4403669724770642,1
s000022,v30,334,59.8,0.17904191616766466,1,1,1,1,5,1.0033444816053512,1.0033444816053512,0
s000023,v13,844,689.9,0.8174170616113744,5,1,1,0,8,0.4348456298014205,0.0869691259602841,1
s000024,v2,737,413.6,0.5611940298507463,0,2,1,0,4,0.0,0.2901353965183752,0
s000025,v30,334,219.9,0.6583832335329342,0,3,1,1,6,0.0,0.8185538881309686,0
s000026,v22,323,189.5,0.586687306501548,2,0,1,0,4,0.633245382585752,0.0,0
s000027,v28,578,364.5,0.6306228373702422,1,0,1,1,4,0.1646090534979424,0.0,0
s000028,v24,742,153.0,0.20619946091644206,2,3,0,1,8,0.7843137254901962,1.1764705882352942,0
s000029,v7,504,19.3,0.038293650793650796,0,1,1,1,4,0.0,3.1088082901554404,0
s000030,v11,727,385.9,0.5308115543328747,4,5,1,0,11,0.6219227779217413,0.7774034724021768,0
s000031,v29,887,14.0,0.015783540022547914,1,1,1,0,4,4.285714285714286,4.285714285714286,0
s000032,v29,887,46.4,0.052311161217587374,2,2,1,0,6,2.586206896551724,2.586206896551724,0
s000033,v7,504,426.2,0.8456349206349206,2,0,1,1,5,0.28155795401220085,0.0,1
s000034,v15,752,637.9,0.8482712765957446,2,4,1,0,9,0.18811725975858287,0.37623451951716574,1
s000035,v16,316,18.5,0.058544303797468354,0,2,1,1,5,0.0,6.486486486486486,0
s000036,v3,559,45.3,0.08103756708407871,0,1,1,0,4,0.0,1.3245033112582782,0
s000037,v6,446,322.0,0.7219730941704036,1,2,1,1,6,0.1863354037267081,0.3726708074534162,0
s000038,v18,494,213.7,0.4325910931174089,0,3,1,0,5,0.0,0.8423022929340197,0
s000039,v11,727,540.3,0.743191196698762,2,3,1,0,7,0.22209883398112162,0.33314825097168244,0
s000040,v6,446,65.6,0.14708520179372195,3,1,1,1,7,2.7439024390243905,0.9146341463414634,0
s000041,v22,323,106.8,0.3306501547987616,1,1,0,1,4,0.5617977528089888,0.5617977528089888,0
s000042,v23,379,279.0,0.7361477572559367,4,1,1,0,8,0.8602150537634408,0.2150537634408602,0
s000043,v26,661,93.7,0.14175491679273827,2,1,1,2,7,1.2806830309498398,0.6403415154749199,0
s000044,v24,742,539.6,0.7272237196765499,4,1,1,0,7,0.44477390659747956,0.11119347664936989,0
s000045,v5,540,418.1,0.7742592592592593,3,2,1,0,8,0.430519014589811,0.2870126763932074,0
s000046,v19,493,433.1,0.8784989858012171,4,5,1,1,12,0.5541445393673516,0.6926806742091896,1
s000047,v22,323,192.2,0.5950464396284829,2,1,1,1,6,0.6243496357960459,0.3121748178980229,0
s000048,v20,759,35.9,0.04729907773386034,2,3,1,0,8,3.3426183844011144,5.013927576601672,0
s000049,v6,446,400.5,0.897982062780269,2,3,1,1,9,0.299625468164794,0.449438202247191,1
s000050,v10,725,22.84631314893977,0.031512156067503135,2,4,1,1,9,5.252488627714045,10.50497725542809,0
s000051,v18,494,228.0,0.46153846153846156,4,4,1,0,10,1.0526315789473684,1.0526315789473684,0
s000052,v17,857,72.6,0.08471411901983664,1,1,1,1,5,0.8264462809917356,0.8264462809917356,0
s000053,v2,737,603.3,0.8185888738127544,1,1,0,1,5,0.09945300845350571,0.09945300845350571,1
s000054,v17,857,624.6,0.7288214702450408,2,3,1,0,8,0.19212295869356388,0.2881844380403458,0
s000055,v16,316,102.7,0.325,3,2,1,0,8,1.7526777020447906,1.1684518013631937,0
s000056,v15,752,633.8,0.8428191489361702,1,1,1,0,4,0.09466708740927739,0.09466708740927739,1
s000057,v8,343,264.6,0.7714285714285715,3,2,1,1,7,0.6802721088435374,0.4535147392290249,0
s000058,v8,343,308.3,0.8988338192419826,4,4,1,1,11,0.7784625364904314,0.7784625364904314,1
s000059,v3,559,490.7,0.8778175313059033,3,3,1,0,8,0.366822906052578,0.366822906052578,1
s000060,v5,540,482.3,0.8931481481481481,0,3,1,1,6,0.0,0.3732116939664109,1
s000061,v8,343,32.0,0.09329446064139942,2,1,1,1,6,3.75,1.875,0
s000062,v26,661,453.0,0.6853252647503782,2,1,1,0,5,0.26490066225165565,0.13245033112582782,0
s000063,v6,446,443.7,0.9948430493273542,0,1,1,1,5,0.0,0.1352265043948614,1
s000064,v13,844,119.0,0.14099526066350712,2,2,1,0,6,1.0084033613445378,1.0084033613445378,0
s000065,v24,742,97.5,0.13140161725067384,3,1,1,1,7,1.8461538461538463,0.6153846153846154,0
s000066,v29,887,34.4,0.03878241262683202,2,4,1,1,10,3.488372093023256,6.976744186046512,0
s000067,v19,493,416.9,0.8456389452332657,3,1,1,0,6,0.43175821539937637,0.14391940513312546,1
s000068,v21,779,354.3,0.45481386392811296,2,3,0,1,8,0.3386960203217612,0.5080440304826418,0
s000069,v15,752,28.4,0.03776595744680851,2,1,1,0,6,4.225352112676056,2.112676056338028,0
s000070,v23,379,33.0,0.0870712401055409,1,4,1,0,7,1.8181818181818181,7.2727272727272725,0
s000071,v28,578,41.3,0.07145328719723183,2,7,1,0,11,2.905569007263923,10.16949152542373,0
s000072,v9,298,279.5,0.9379194630872483,4,4,1,0,10,0.8586762075134169,0.8586762075134169,1
s000073,v9,298,115.3,0.38691275167785233,3,2,1,1,8,1.5611448395490026,1.0407632263660018,0
s000074,v8,343,12.8,0.037317784256559766,3,3,0,0,7,14.062499999999998,14.062499999999998,0
s000075,v28,578,18.9,0.03269896193771626,5,3,1,0,10,15.873015873015873,9.523809523809524,0
s000076,v12,320,314.4,0.9824999999999999,3,1,1,1,7,0.5725190839694657,0.19083969465648856,1
s000077,v19,493,222.7,0.45172413793103444,3,1,1,2,9,0.8082622361921868,0.26942074539739563,0
s000078,v27,587,359.0,0.6115843270868825,4,3,1,0,9,0.6685236768802229,0.5013927576601671,0
s000079,v2,737,675.1,0.916010854816825,6,2,1,0,10,0.5332543326914531,0.17775144423048436,1
s000080,v4,882,815.3,0.92437641723356,1,3,1,0,8,0.0735925426223476,0.2207776278670428,1
s000081,v14,716,661.5,0.9238826815642458,4,0,1,0,6,0.36281179138321995,0.0,1
s000082,v15,752,67.5,0.08976063829787234,2,3,1,0,7,1.7777777777777777,2.6666666666666665,0
s000083,v22,323,322.6,0.9987616099071208,5,2,1,1,12,0.929944203347799,0.3719776813391196,1
s000084,v8,343,18.6,0.054227405247813415,2,2,1,0,6,6.451612903225807,6.451612903225807,0
s000085,v14,716,97.8,0.13659217877094973,2,2,1,0,6,1.2269938650306749,1.2269938650306749,0
s000086,v1,244,17.4,0.07131147540983605,3,2,0,0,6,10.344827586206897,6.8965517241379315,0
s000087,v27,587,220.5,0.3756388415672913,1,2,1,2,6,0.272108843537415,0.54421768707483,0
s000088,v28,578,175.5,0.3036332179930796,4,2,1,0,8,1.3675213675213675,0.6837606837606838,0
s000089,v13,844,632.5,0.7494075829383886,3,1,1,1,8,0.2845849802371542,0.09486166007905139,0
s000090,v9,298,139.9,0.46946308724832214,4,2,1,1,11,1.7155110793423876,0.8577555396711938,0
s000091,v4,882,404.5,0.45861678004535145,0,1,1,1,5,0.0,0.14833127317676145,0
s000092,v15,752,331.9,0.44135638297872337,2,1,1,0,5,0.3615546851461284,0.1807773425730642,0
s000093,v16,316,96.6,0.30569620253164553,4,3,1,1,10,2.4844720496894412,1.863354037267081,0
s000094,v22,323,14.1,0.043653250773993804,1,2,1,0,5,4.25531914893617,8.51063829787234,0
s000095,v7,504,240.8,0.4777777777777778,3,1,1,0,6,0.7475083056478404,0.24916943521594684,0
s000096,v30,334,324.4,0.97125748502994,1,1,1,0,4,0.18495684340320592,0.18495684340320592,1
s000097,v2,737,637.9,0.8655359565807327,2,2,1,2,8,0.18811725975858287,0.18811725975858287,1
s000098,v27,587,317.5,0.540885860306644,1,2,1,1,6,0.1889763779527559,0.3779527559055118,0
s000099,v8,343,323.7,0.9437317784256559,2,1,1,2,7,0.37071362372567196,0.18535681186283598,1
s000100,v10,725,228.1,0.3146206896551724,2,2,1,0,7,0.526085050416484,0.526085050416484,0
s000101,v26,661,382.0,0.5779122541603631,2,2,1,1,7,0.31413612565445026,0.31413612565445026,0
s000102,v8,343,309.2,0.9014577259475218,6,3,0,2,13,1.1642949547218628,0.5821474773609314,1
