user_id,completion_ratio,n_pauses,n_replays,n_seeks,cluster,persona_label
u1000_v14,0.4727653631284916,3.0,0.0,2.0,0,Décrocheur rapide
u1000_v19,0.1103448275862069,1.0,0.0,1.0,0,Décrocheur rapide
u1001_v14,0.9723463687150838,2.0,1.0,0.0,2,Engagé fluide
u1001_v19,0.015010141987829616,1.0,1.0,2.0,0,Décrocheur rapide
u1001_v25,0.3782258064516129,0.0,0.0,1.0,0,Décrocheur rapide
u1001_v8,0.14927113702623906,5.0,0.0,2.0,0,Décrocheur rapide
u1002_v15,0.3121010638297872,3.0,1.0,3.0,0,Décrocheur rapide
u1003_v13,0.1859004739336493,2.0,1.0,1.0,0,Décrocheur rapide
u1003_v29,0.41025930101465613,2.0,0.0,2.0,0,Décrocheur rapide
u1003_v3,0.9295169946332738,4.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1003_v4,0.07766439909297052,3.0,0.0,1.0,0,Décrocheur rapide
u1003_v7,0.09722222222222222,0.0,0.0,0.0,0,Décrocheur rapide
u1003_v8,0.9854227405247813,2.0,0.0,2.0,2,Engagé fluide
u1004_v13,0.8283175355450237,1.0,0.0,1.0,2,Engagé fluide
u1004_v27,0.6913117546848382,3.0,0.0,3.0,1,Zappeur (replay/seek fréquents)
u1004_v29,0.1004509582863585,4.0,0.0,0.0,0,Décrocheur rapide
u1004_v6,0.6757847533632286,2.0,1.0,2.0,2,Engagé fluide
u1004_v9,0.5020134228187919,0.0,0.0,1.0,2,Engagé fluide
u1005_v2,0.9919945725915875,5.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1005_v24,0.807277628032345,4.0,0.0,4.0,1,Zappeur (replay/seek fréquents)
u1005_v28,0.9269896193771625,5.0,1.0,1.0,1,Zappeur (replay/seek fréquents)
u1006_v10,0.8288275862068966,4.0,1.0,1.0,2,Engagé fluide
u1006_v4,0.7959183673469388,4.0,0.0,2.0,1,Zappeur (replay/seek fréquents)
u1006_v5,0.8868518518518518,0.0,0.0,2.0,2,Engagé fluide
u1007_v14,0.4339385474860335,4.0,0.0,2.0,0,Décrocheur rapide
u1007_v15,0.31449468085106386,1.0,0.0,1.0,0,Décrocheur rapide
u1007_v26,0.6127080181543116,0.0,1.0,1.0,2,Engagé fluide
u1007_v30,0.9550898203592815,3.0,0.0,1.0,2,Engagé fluide
u1008_v5,0.8792592592592593,5.0,1.0,0.0,2,Engagé fluide
u1008_v6,0.6804932735426009,6.0,1.0,0.0,1,Zappeur (replay/seek fréquents)
